demb,n_layer,d_head,d_FF,n_head,kv_heads,Window,vocab,model_size_MB,gpu_mem_usage
4096, 32, 128, 14336, 32, 8, 4096, 32000, 7241.7, 28004.25
4096, 6, 128, 14336, 32, 8, 4096, 100000, 2127.9, 8500.25
4096, 8, 128, 14336, 32, 8, 4096, 100000, 2564.1, 10164.25
4096, 10, 128, 14336, 32, 8, 4096, 100000, 3000.3, 11828.25
4096, 12, 128, 14336, 32, 8, 4096, 100000, 3436.5, 13492.25
4096, 6, 128, 14336, 32, 4, 4096, 100000, 2102.7, 8428.25
4096, 8, 128, 14336, 32, 4, 4096, 100000, 2530.5, 10068.25
4096, 10, 128, 14336, 32, 4, 4096, 100000, 2958.4, 11708.25
4096, 12, 128, 14336, 32, 4, 4096, 100000, 3386.2, 13348.25
4096, 6, 128, 14336, 32, 8, 8192, 100000, 2127.9, 8500.25
4096, 8, 128, 14336, 32, 8, 8192, 100000, 2564.1, 10164.25
4096, 10, 128, 14336, 32, 8, 8192, 100000, 3000.3, 11828.25
4096, 12, 128, 14336, 32, 8, 8192, 100000, 3436.5, 13492.25
4096, 6, 128, 14336, 32, 4, 8192, 100000, 2102.7, 8428.25
4096, 8, 128, 14336, 32, 4, 8192, 100000, 2530.5, 10068.25
4096, 10, 128, 14336, 32, 4, 8192, 100000, 2958.4, 11708.25
4096, 12, 128, 14336, 32, 4, 8192, 100000, 3386.2, 13348.25
